account,order_number,order_full,item_id,title,item_url,qty_sold,qty_available,price,price_text
secondary,14106-72388,13-14106-72388,205957210179,Hewlett Packard HP-41c 41CV 41X Calculator Service Manual Copy,https://www.ebay.com/itm/205957210179,1,1,33.00,$33.00
secondary,14114-58006,04-14114-58006,205397602333,Service Manual for Card reader HP82104A for Hewlett Packard HP 41CV Calculator,https://www.ebay.com/itm/205397602333,1,1,18.05,$18.05
secondary,14087-17494,23-14087-17494,204596351504,User's guide for Hewlett Packard HP Prime Manual,https://www.ebay.com/itm/204596351504,1,1,120.00,$120.00
secondary,14114-70583,03-14114-70583,204616721235,SwissMicros DM-41X user manual (Hewlett Packard HP 41CX Calculator),https://www.ebay.com/itm/204616721235,1,1,19.00,$19.00
secondary,14108-37833,05-14108-37833,204616721925,SwissMicros DM-42 user manual (Hewlett Packard HP 42 Calculator),https://www.ebay.com/itm/204616721925,1,2,17.00,$17.00
secondary,14102-76338,05-14102-76338,204889448336,HP-12C Calculator Owner's Handbook and Problem-Solving Guide Manual,https://www.ebay.com/itm/204889448336,1,1,49.00,$49.00
secondary,14095-73608,08-14095-73608,204089168289,Manual for Hewlett Packard HP 41 Calculator Aviation pac module,https://www.ebay.com/itm/204089168289,1,2,15.00,$15.00
secondary,14078-97921,20-14078-97921,203805326176,Aviation pac manual for Hewlett Packard HP 41CV calculator module,https://www.ebay.com/itm/203805326176,1,2,19.00,$19.00
secondary,14077-70780,20-14077-70780,205176209449,Texas Instruments TI Nspire CX II / CX CAS II manual: Handleds Guidebook,https://www.ebay.com/itm/205176209449,1,1,23.00,$23.00
secondary,14073-88593,15-14073-88593,205398846669,Hewlett Packard HP 41CV P 41C Calculator Manual: Operating Manual,https://www.ebay.com/itm/205398846669,1,1,22.00,$22.00
secondary,14070-72416,16-14070-72416,204580984900,Manual for Hewlett Packard WP-34S Calculator,https://www.ebay.com/itm/204580984900,1,1,39.00,$39.00
secondary,14080-91041,08-14080-91041,204084044488,Manual for Hewlett Packard HP 42S Calculator,https://www.ebay.com/itm/204084044488,1,1,55.00,$55.00
secondary,14086-81105,04-14086-81105,204645968318,Manual for Hewlett Packard HP 42S Calculator: Programming Examples and Technique,https://www.ebay.com/itm/204645968318,1,1,40.00,$40.00
secondary,14057-94095,19-14057-94095,204579815642,Manual for Hewlett Packard HP-32S Calculator,https://www.ebay.com/itm/204579815642,1,1,49.00,$49.00
secondary,14038-41459,11-14038-41459,204835637711,Casio Pocket Computer Fx-890P Z-1 User Manual,https://www.ebay.com/itm/204835637711,1,1,20.00,$20.00
secondary,14012-78862,25-14012-78862,205399513750,Hewlett Packard HP-41c 41CV 41X Calculator Service Manual,https://www.ebay.com/itm/205399513750,1,1,29.70,$29.70
secondary,14032-15866,08-14032-15866,204823820821,Manual for Hewlett Packard HP 41 Calculator: HP-IL Module,https://www.ebay.com/itm/204823820821,1,1,19.00,$19.00
secondary,14023-03945,11-14023-03945,204889267360,Manual for Hewlett Packard HP-20b / HP-30b Financial Calculator: Users' Guide,https://www.ebay.com/itm/204889267360,1,1,21.00,$21.00
secondary,14010-08824,03-14010-08824,204547359303,Manual for Hewlett Packard HP 16C Calculator,https://www.ebay.com/itm/204547359303,1,2,55.00,$55.00
secondary,13989-16505,15-13989-16505,205401431167,Hewlett Packard HP-41C CV CX Calculator: Financial PAC Manual,https://www.ebay.com/itm/205401431167,1,0,17.00,$17.00
secondary,13963-89447,27-13963-89447,204888775257,Manual for Hewlett Packard HP 42S Calculator: Mechanical engineering,https://www.ebay.com/itm/204888775257,1,2,25.00,$25.00
secondary,13963-89450,27-13963-89450,204986495649,Manual Hewlett Packard HP 42S Calculator: Electrical Engineering - Half-Letter,https://www.ebay.com/itm/204986495649,1,2,39.00,$39.00
secondary,13966-58514,22-13966-58514,204888764439,Manual for Hewlett Packard HP 42S Calculator: Electrical Engineering,https://www.ebay.com/itm/204888764439,1,1,40.00,$40.00
secondary,13941-58875,26-13941-58875,205376398333,Manual for SHARP PC-1600 Pocket Computer Calculator,https://www.ebay.com/itm/205376398333,1,1,52.00,$52.00
secondary,13953-88804,24-13953-88804,204848140912,Manual for Hewlett Packard HP-12C Calculator: professional Real Estate,https://www.ebay.com/itm/204848140912,1,1,49.00,$49.00
secondary,13957-26960,05-13957-26960,204142872503,Manual for Hewlett Packard HP 50G Calculator,https://www.ebay.com/itm/204142872503,1,1,45.00,$45.00
secondary,13944-32791,04-13944-32791,204968576217,Texas Instruments Ti nspire CX CAS / CX CAS II calculator reference manual,https://www.ebay.com/itm/204968576217,1,1,45.00,$45.00
secondary,13902-85042,22-13902-85042,204642321655,Operating Manual for Hewlett Packard HP 41C CV Calculator,https://www.ebay.com/itm/204642321655,1,1,17.00,$17.00
secondary,13901-46909,18-13901-46909,204628731768,Hewlett Packard HP 48GX Calculator 48G Series Advanced User’s Reference Manual,https://www.ebay.com/itm/204628731768,1,2,110.00,$110.00
secondary,13883-98103,20-13883-98103,205182046732,Manual for Hewlett Packard HP 67 Calculator,https://www.ebay.com/itm/205182046732,1,0,45.00,$45.00
